País,Área geográfica,Servicios básicos_(EH),Años,id_fuente,ids_notas,iso3,valor
Brasil,Nacional,Agua,2003,26,8608,BRA,84.9
Brasil,Nacional,Desague,2003,26,8608,BRA,53.2
Brasil,Nacional,Electricidad,2003,26,8608,BRA,97
Brasil,Rural,Agua,2003,26,8608,BRA,56.8
Brasil,Rural,Desague,2003,26,8608,BRA,25.4
Brasil,Rural,Electricidad,2003,26,8608,BRA,81.9
Brasil,Urbana,Agua,2003,26,8608,BRA,89.6
Brasil,Urbana,Desague,2003,26,8608,BRA,56.6
Brasil,Urbana,Electricidad,2003,26,8608,BRA,99.5
Brasil,Nacional,Agua,2004,26,8608,BRA,85.1
Brasil,Nacional,Desague,2004,26,8608,BRA,53.4
Brasil,Nacional,Electricidad,2004,26,8608,BRA,96.8
Brasil,Rural,Agua,2004,26,8608,BRA,56.5
Brasil,Rural,Desague,2004,26,8608,BRA,26.4
Brasil,Rural,Electricidad,2004,26,8608,BRA,81.5
Brasil,Urbana,Agua,2004,26,8608,BRA,90.4
Brasil,Urbana,Desague,2004,26,8608,BRA,57.2
Brasil,Urbana,Electricidad,2004,26,8608,BRA,99.6
Brasil,Nacional,Agua,2005,26,8608,BRA,85.4
Brasil,Nacional,Desague,2005,26,8608,BRA,53.4
Brasil,Nacional,Electricidad,2005,26,8608,BRA,97.1
Brasil,Rural,Agua,2005,26,8608,BRA,58
Brasil,Rural,Desague,2005,26,8608,BRA,26.2
Brasil,Rural,Electricidad,2005,26,8608,BRA,83.5
Brasil,Urbana,Agua,2005,26,8608,BRA,90.5
Brasil,Urbana,Desague,2005,26,8608,BRA,57.3
Brasil,Urbana,Electricidad,2005,26,8608,BRA,99.6
Brasil,Nacional,Agua,2006,26,8608,BRA,86.8
Brasil,Nacional,Desague,2006,26,8608,BRA,53.6
Brasil,Nacional,Electricidad,2006,26,8608,BRA,97.6
Brasil,Rural,Agua,2006,26,8608,BRA,60.7
Brasil,Rural,Desague,2006,26,8608,BRA,27.6
Brasil,Rural,Electricidad,2006,26,8608,BRA,86.1
Brasil,Urbana,Agua,2006,26,8608,BRA,91.6
Brasil,Urbana,Desague,2006,26,8608,BRA,57.3
Brasil,Urbana,Electricidad,2006,26,8608,BRA,99.7
Brasil,Nacional,Agua,2007,26,8608,BRA,87.5
Brasil,Nacional,Desague,2007,26,8608,BRA,56.7
Brasil,Nacional,Electricidad,2007,26,8608,BRA,98.1
Brasil,Rural,Agua,2007,26,8608,BRA,63
Brasil,Rural,Desague,2007,26,8608,BRA,31
Brasil,Rural,Electricidad,2007,26,8608,BRA,89.1
Brasil,Urbana,Agua,2007,26,8608,BRA,92
Brasil,Urbana,Desague,2007,26,8608,BRA,60.4
Brasil,Urbana,Electricidad,2007,26,8608,BRA,99.8
Brasil,Nacional,Agua,2008,26,8608,BRA,88.2
Brasil,Nacional,Desague,2008,26,8608,BRA,57.8
Brasil,Nacional,Electricidad,2008,26,8608,BRA,98.5
Brasil,Rural,Agua,2008,26,8608,BRA,65.4
Brasil,Rural,Desague,2008,26,8608,BRA,31.4
Brasil,Rural,Electricidad,2008,26,8608,BRA,91.4
Brasil,Urbana,Agua,2008,26,8608,BRA,92.3
Brasil,Urbana,Desague,2008,26,8608,BRA,61.7
Brasil,Urbana,Electricidad,2008,26,8608,BRA,99.8
Brasil,Nacional,Agua,2009,26,8608,BRA,88.8
Brasil,Nacional,Desague,2009,26,8608,BRA,57.8
Brasil,Nacional,Electricidad,2009,26,8608,BRA,98.9
Brasil,Rural,Agua,2009,26,8608,BRA,67.2
Brasil,Rural,Desague,2009,26,8608,BRA,31.7
Brasil,Rural,Electricidad,2009,26,8608,BRA,93.3
Brasil,Urbana,Agua,2009,26,8608,BRA,92.7
Brasil,Urbana,Desague,2009,26,8608,BRA,61.7
Brasil,Urbana,Electricidad,2009,26,8608,BRA,99.9
Brasil,Nacional,Agua,2011,26,8608,BRA,89.4
Brasil,Nacional,Desague,2011,26,8608,BRA,60.2
Brasil,Nacional,Electricidad,2011,26,8608,BRA,99.3
Brasil,Rural,Agua,2011,26,8608,BRA,70.3
Brasil,Rural,Desague,2011,26,8608,BRA,34.7
Brasil,Rural,Electricidad,2011,26,8608,BRA,95.8
Brasil,Urbana,Agua,2011,26,8608,BRA,92.5
Brasil,Urbana,Desague,2011,26,8608,BRA,63.7
Brasil,Urbana,Electricidad,2011,26,8608,BRA,99.9
Brasil,Nacional,Agua,2012,26,8608,BRA,90.5
Brasil,Nacional,Desague,2012,26,8608,BRA,62.8
Brasil,Nacional,Electricidad,2012,26,8608,BRA,99.5
Brasil,Rural,Agua,2012,26,8608,BRA,72.8
Brasil,Rural,Desague,2012,26,8608,BRA,38.7
Brasil,Rural,Electricidad,2012,26,8608,BRA,97
Brasil,Urbana,Agua,2012,26,8608,BRA,93.4
Brasil,Urbana,Desague,2012,26,8608,BRA,66.2
Brasil,Urbana,Electricidad,2012,26,8608,BRA,99.9
Brasil,Nacional,Agua,2013,26,8608,BRA,90.3
Brasil,Nacional,Desague,2013,26,8608,BRA,63.3
Brasil,Nacional,Electricidad,2013,26,8608,BRA,99.6
Brasil,Rural,Agua,2013,26,8608,BRA,73.5
Brasil,Rural,Desague,2013,26,8608,BRA,34
Brasil,Rural,Electricidad,2013,26,8608,BRA,97.4
Brasil,Urbana,Agua,2013,26,8608,BRA,93.1
Brasil,Urbana,Desague,2013,26,8608,BRA,67.6
Brasil,Urbana,Electricidad,2013,26,8608,BRA,99.9
Brasil,Nacional,Agua,2014,26,8608,BRA,90.8
Brasil,Nacional,Desague,2014,26,8608,BRA,62.6
Brasil,Nacional,Electricidad,2014,26,8608,BRA,99.7
Brasil,Rural,Agua,2014,26,8608,BRA,75.4
Brasil,Rural,Desague,2014,26,8608,BRA,35.3
Brasil,Rural,Electricidad,2014,26,8608,BRA,97.8
Brasil,Urbana,Agua,2014,26,8608,BRA,93.4
Brasil,Urbana,Desague,2014,26,8608,BRA,66.6
Brasil,Urbana,Electricidad,2014,26,8608,BRA,99.9
Brasil,Nacional,Agua,2015,26,8608,BRA,91
Brasil,Nacional,Desague,2015,26,8608,BRA,65.1
Brasil,Nacional,Electricidad,2015,26,8608,BRA,99.7
Brasil,Rural,Agua,2015,26,8608,BRA,75.7
Brasil,Rural,Desague,2015,26,8608,BRA,43.1
Brasil,Rural,Electricidad,2015,26,8608,BRA,98.2
Brasil,Urbana,Agua,2015,26,8608,BRA,93.5
Brasil,Urbana,Desague,2015,26,8608,BRA,68.4
Brasil,Urbana,Electricidad,2015,26,8608,BRA,100
Brasil,Nacional,Agua,2016,26,"8609,10417",BRA,90.4
Brasil,Nacional,Desague,2016,26,"8609,10417",BRA,77
Brasil,Nacional,Electricidad,2016,26,"8609,10417",BRA,99.8
Brasil,Rural,Agua,2016,26,"8609,10417",BRA,73.5
Brasil,Rural,Desague,2016,26,"8609,10417",BRA,88.8
Brasil,Rural,Electricidad,2016,26,"8609,10417",BRA,98.5
Brasil,Urbana,Agua,2016,26,"8609,10417",BRA,93.1
Brasil,Urbana,Desague,2016,26,"8609,10417",BRA,75.3
Brasil,Urbana,Electricidad,2016,26,"8609,10417",BRA,100
Brasil,Nacional,Agua,2017,26,"8609,10417",BRA,90.4
Brasil,Nacional,Desague,2017,26,"8609,10417",BRA,76.9
Brasil,Nacional,Electricidad,2017,26,"8609,10417",BRA,99.8
Brasil,Rural,Agua,2017,26,"8609,10417",BRA,73.9
Brasil,Rural,Desague,2017,26,"8609,10417",BRA,88.3
Brasil,Rural,Electricidad,2017,26,"8609,10417",BRA,98.6
Brasil,Urbana,Agua,2017,26,"8609,10417",BRA,93
Brasil,Urbana,Desague,2017,26,"8609,10417",BRA,75.2
Brasil,Urbana,Electricidad,2017,26,"8609,10417",BRA,99.9
Brasil,Nacional,Agua,2018,26,"8609,10417",BRA,90.7
Brasil,Nacional,Desague,2018,26,"8609,10417",BRA,77.3
Brasil,Nacional,Electricidad,2018,26,"8609,10417",BRA,99.7
Brasil,Rural,Agua,2018,26,"8609,10417",BRA,75.4
Brasil,Rural,Desague,2018,26,"8609,10417",BRA,88.6
Brasil,Rural,Electricidad,2018,26,"8609,10417",BRA,98.6
Brasil,Urbana,Agua,2018,26,"8609,10417",BRA,93.1
Brasil,Urbana,Desague,2018,26,"8609,10417",BRA,75.6
Brasil,Urbana,Electricidad,2018,26,"8609,10417",BRA,99.9
Brasil,Nacional,Agua,2019,26,8609,BRA,90.4
Brasil,Nacional,Desague,2019,26,8609,BRA,69.1
Brasil,Nacional,Electricidad,2019,26,8609,BRA,99.8
Brasil,Rural,Agua,2019,26,8609,BRA,75.9
Brasil,Rural,Desague,2019,26,8609,BRA,56.2
Brasil,Rural,Electricidad,2019,26,8609,BRA,98.6
Brasil,Urbana,Agua,2019,26,8609,BRA,92.5
Brasil,Urbana,Desague,2019,26,8609,BRA,71
Brasil,Urbana,Electricidad,2019,26,8609,BRA,99.9
Chile,Nacional,Agua,2000,26,,CHL,93.4
Chile,Nacional,Desague,2000,26,,CHL,83.2
Chile,Nacional,Electricidad,2000,26,,CHL,95.8
Chile,Rural,Agua,2000,26,,CHL,58.6
Chile,Rural,Desague,2000,26,,CHL,31.8
Chile,Rural,Electricidad,2000,26,,CHL,75.9
Chile,Urbana,Agua,2000,26,,CHL,98.8
Chile,Urbana,Desague,2000,26,,CHL,91.1
Chile,Urbana,Electricidad,2000,26,,CHL,98.8
Chile,Nacional,Agua,2003,26,,CHL,95.1
Chile,Nacional,Desague,2003,26,,CHL,85
Chile,Nacional,Electricidad,2003,26,,CHL,97.5
Chile,Rural,Agua,2003,26,,CHL,69
Chile,Rural,Desague,2003,26,,CHL,41.1
Chile,Rural,Electricidad,2003,26,,CHL,87.9
Chile,Urbana,Agua,2003,26,,CHL,99
Chile,Urbana,Desague,2003,26,,CHL,91.6
Chile,Urbana,Electricidad,2003,26,,CHL,98.9
Chile,Nacional,Agua,2006,26,,CHL,96.1
Chile,Nacional,Desague,2006,26,,CHL,88.2
Chile,Nacional,Electricidad,2006,26,,CHL,98.2
Chile,Rural,Agua,2006,26,,CHL,76.4
Chile,Rural,Desague,2006,26,,CHL,54.6
Chile,Rural,Electricidad,2006,26,,CHL,92.2
Chile,Urbana,Agua,2006,26,,CHL,99.1
Chile,Urbana,Desague,2006,26,,CHL,93.3
Chile,Urbana,Electricidad,2006,26,,CHL,99.1
Chile,Nacional,Agua,2009,26,,CHL,96.7
Chile,Nacional,Desague,2009,26,,CHL,90.6
Chile,Nacional,Electricidad,2009,26,,CHL,98.6
Chile,Rural,Agua,2009,26,,CHL,80.5
Chile,Rural,Desague,2009,26,,CHL,66
Chile,Rural,Electricidad,2009,26,,CHL,94.3
Chile,Urbana,Agua,2009,26,,CHL,99.2
Chile,Urbana,Desague,2009,26,,CHL,94.3
Chile,Urbana,Electricidad,2009,26,,CHL,99.2
Chile,Nacional,Agua,2011,26,,CHL,96.8
Chile,Nacional,Desague,2011,26,,CHL,93.7
Chile,Nacional,Electricidad,2011,26,,CHL,98.9
Chile,Rural,Agua,2011,26,,CHL,79.2
Chile,Rural,Desague,2011,26,,CHL,65.8
Chile,Rural,Electricidad,2011,26,,CHL,94.1
Chile,Urbana,Agua,2011,26,,CHL,99.4
Chile,Urbana,Desague,2011,26,,CHL,97.9
Chile,Urbana,Electricidad,2011,26,,CHL,99.6
Chile,Nacional,Agua,2013,26,,CHL,97.8
Chile,Nacional,Desague,2013,26,,CHL,93.6
Chile,Nacional,Electricidad,2013,26,,CHL,99
Chile,Rural,Agua,2013,26,,CHL,85.2
Chile,Rural,Desague,2013,26,,CHL,72.3
Chile,Rural,Electricidad,2013,26,,CHL,95.6
Chile,Urbana,Agua,2013,26,,CHL,99.6
Chile,Urbana,Desague,2013,26,,CHL,96.7
Chile,Urbana,Electricidad,2013,26,,CHL,99.5
Chile,Nacional,Agua,2015,26,,CHL,97.8
Chile,Nacional,Desague,2015,26,,CHL,94.9
Chile,Nacional,Electricidad,2015,26,,CHL,99.1
Chile,Rural,Agua,2015,26,,CHL,86.4
Chile,Rural,Desague,2015,26,,CHL,78.8
Chile,Rural,Electricidad,2015,26,,CHL,95.8
Chile,Urbana,Agua,2015,26,,CHL,99.5
Chile,Urbana,Desague,2015,26,,CHL,97.3
Chile,Urbana,Electricidad,2015,26,,CHL,99.6
Chile,Nacional,Agua,2017,26,,CHL,97.1
Chile,Nacional,Desague,2017,26,,CHL,93.8
Chile,Nacional,Electricidad,2017,26,,CHL,98.4
Chile,Rural,Agua,2017,26,,CHL,80.1
Chile,Rural,Desague,2017,26,,CHL,71.3
Chile,Rural,Electricidad,2017,26,,CHL,95.6
Chile,Urbana,Agua,2017,26,,CHL,99.6
Chile,Urbana,Desague,2017,26,,CHL,97
Chile,Urbana,Electricidad,2017,26,,CHL,98.8
Colombia,Nacional,Agua,2008,26,8611,COL,90.4
Colombia,Nacional,Desague,2008,26,8611,COL,86.4
Colombia,Nacional,Electricidad,2008,26,8611,COL,96.5
Colombia,Rural,Agua,2008,26,8611,COL,70.4
Colombia,Rural,Desague,2008,26,8611,COL,65.7
Colombia,Rural,Electricidad,2008,26,8611,COL,85.8
Colombia,Urbana,Agua,2008,26,8611,COL,96.4
Colombia,Urbana,Desague,2008,26,8611,COL,92.6
Colombia,Urbana,Electricidad,2008,26,8611,COL,99.6
Colombia,Nacional,Agua,2009,26,8611,COL,89.4
Colombia,Nacional,Desague,2009,26,8611,COL,84.5
Colombia,Nacional,Electricidad,2009,26,8611,COL,96.2
Colombia,Rural,Agua,2009,26,8611,COL,70
Colombia,Rural,Desague,2009,26,8611,COL,62.8
Colombia,Rural,Electricidad,2009,26,8611,COL,84.8
Colombia,Urbana,Agua,2009,26,8611,COL,95.2
Colombia,Urbana,Desague,2009,26,8611,COL,90.9
Colombia,Urbana,Electricidad,2009,26,8611,COL,99.6
Colombia,Nacional,Agua,2010,26,8611,COL,89.4
Colombia,Nacional,Desague,2010,26,8611,COL,84.8
Colombia,Nacional,Electricidad,2010,26,8611,COL,96.7
Colombia,Rural,Agua,2010,26,8611,COL,70
Colombia,Rural,Desague,2010,26,8611,COL,64
Colombia,Rural,Electricidad,2010,26,8611,COL,86.3
Colombia,Urbana,Agua,2010,26,8611,COL,95
Colombia,Urbana,Desague,2010,26,8611,COL,90.8
Colombia,Urbana,Electricidad,2010,26,8611,COL,99.7
Colombia,Nacional,Agua,2011,26,8611,COL,89.3
Colombia,Nacional,Desague,2011,26,8611,COL,85.5
Colombia,Nacional,Electricidad,2011,26,8611,COL,96.8
Colombia,Rural,Agua,2011,26,8611,COL,70.1
Colombia,Rural,Desague,2011,26,8611,COL,65.8
Colombia,Rural,Electricidad,2011,26,8611,COL,86.7
Colombia,Urbana,Agua,2011,26,8611,COL,95
Colombia,Urbana,Desague,2011,26,8611,COL,91.3
Colombia,Urbana,Electricidad,2011,26,8611,COL,99.8
Colombia,Nacional,Agua,2012,26,8611,COL,90.2
Colombia,Nacional,Desague,2012,26,8611,COL,86.4
Colombia,Nacional,Electricidad,2012,26,8611,COL,97.1
Colombia,Rural,Agua,2012,26,8611,COL,71.7
Colombia,Rural,Desague,2012,26,8611,COL,66.3
Colombia,Rural,Electricidad,2012,26,8611,COL,87.9
Colombia,Urbana,Agua,2012,26,8611,COL,95.5
Colombia,Urbana,Desague,2012,26,8611,COL,92.1
Colombia,Urbana,Electricidad,2012,26,8611,COL,99.7
Colombia,Nacional,Agua,2013,26,8611,COL,90.1
Colombia,Nacional,Desague,2013,26,8611,COL,86.9
Colombia,Nacional,Electricidad,2013,26,8611,COL,97.5
Colombia,Rural,Agua,2013,26,8611,COL,71.7
Colombia,Rural,Desague,2013,26,8611,COL,68.6
Colombia,Rural,Electricidad,2013,26,8611,COL,89.4
Colombia,Urbana,Agua,2013,26,8611,COL,95.3
Colombia,Urbana,Desague,2013,26,8611,COL,92.1
Colombia,Urbana,Electricidad,2013,26,8611,COL,99.8
Colombia,Nacional,Agua,2014,26,8611,COL,90.2
Colombia,Nacional,Desague,2014,26,8611,COL,87.2
Colombia,Nacional,Electricidad,2014,26,8611,COL,97.6
Colombia,Rural,Agua,2014,26,8611,COL,71.4
Colombia,Rural,Desague,2014,26,8611,COL,69.5
Colombia,Rural,Electricidad,2014,26,8611,COL,89.9
Colombia,Urbana,Agua,2014,26,8611,COL,95.5
Colombia,Urbana,Desague,2014,26,8611,COL,92.2
Colombia,Urbana,Electricidad,2014,26,8611,COL,99.8
Colombia,Nacional,Agua,2015,26,8611,COL,90.5
Colombia,Nacional,Desague,2015,26,8611,COL,88.1
Colombia,Nacional,Electricidad,2015,26,8611,COL,98.1
Colombia,Rural,Agua,2015,26,8611,COL,72
Colombia,Rural,Desague,2015,26,8611,COL,72.1
Colombia,Rural,Electricidad,2015,26,8611,COL,92.1
Colombia,Urbana,Agua,2015,26,8611,COL,95.6
Colombia,Urbana,Desague,2015,26,8611,COL,92.5
Colombia,Urbana,Electricidad,2015,26,8611,COL,99.8
Colombia,Nacional,Agua,2016,26,8611,COL,90.3
Colombia,Nacional,Desague,2016,26,8611,COL,88.8
Colombia,Nacional,Electricidad,2016,26,8611,COL,98.4
Colombia,Rural,Agua,2016,26,8611,COL,71.9
Colombia,Rural,Desague,2016,26,8611,COL,73.7
Colombia,Rural,Electricidad,2016,26,8611,COL,93.2
Colombia,Urbana,Agua,2016,26,8611,COL,95.4
Colombia,Urbana,Desague,2016,26,8611,COL,93
Colombia,Urbana,Electricidad,2016,26,8611,COL,99.8
Colombia,Nacional,Agua,2017,26,8611,COL,90.5
Colombia,Nacional,Desague,2017,26,8611,COL,89.1
Colombia,Nacional,Electricidad,2017,26,8611,COL,98.4
Colombia,Rural,Agua,2017,26,8611,COL,72.2
Colombia,Rural,Desague,2017,26,8611,COL,73.4
Colombia,Rural,Electricidad,2017,26,8611,COL,93.3
Colombia,Urbana,Agua,2017,26,8611,COL,95.5
Colombia,Urbana,Desague,2017,26,8611,COL,93.4
Colombia,Urbana,Electricidad,2017,26,8611,COL,99.9
Colombia,Nacional,Agua,2018,26,8611,COL,89.8
Colombia,Nacional,Desague,2018,26,8611,COL,89.3
Colombia,Nacional,Electricidad,2018,26,8611,COL,98.5
Colombia,Rural,Agua,2018,26,8611,COL,70.4
Colombia,Rural,Desague,2018,26,8611,COL,73.4
Colombia,Rural,Electricidad,2018,26,8611,COL,93.3
Colombia,Urbana,Agua,2018,26,8611,COL,95.1
Colombia,Urbana,Desague,2018,26,8611,COL,93.7
Colombia,Urbana,Electricidad,2018,26,8611,COL,99.9
Colombia,Nacional,Agua,2019,26,8611,COL,90.3
Colombia,Nacional,Desague,2019,26,8611,COL,89.6
Colombia,Nacional,Electricidad,2019,26,8611,COL,98.6
Colombia,Rural,Agua,2019,26,8611,COL,72
Colombia,Rural,Desague,2019,26,8611,COL,74.8
Colombia,Rural,Electricidad,2019,26,8611,COL,94
Colombia,Urbana,Agua,2019,26,8611,COL,95.4
Colombia,Urbana,Desague,2019,26,8611,COL,93.7
Colombia,Urbana,Electricidad,2019,26,8611,COL,99.9
Costa Rica,Nacional,Agua,2000,26,8612,CRI,97.8
Costa Rica,Nacional,Desague,2000,26,8612,CRI,61
Costa Rica,Nacional,Electricidad,2000,26,8612,CRI,96.7
Costa Rica,Rural,Agua,2000,26,8612,CRI,95.1
Costa Rica,Rural,Desague,2000,26,8612,CRI,83.3
Costa Rica,Rural,Electricidad,2000,26,8612,CRI,93.4
Costa Rica,Urbana,Agua,2000,26,8612,CRI,99.7
Costa Rica,Urbana,Desague,2000,26,8612,CRI,45.9
Costa Rica,Urbana,Electricidad,2000,26,8612,CRI,98.9
Costa Rica,Nacional,Agua,2001,26,8612,CRI,98.2
Costa Rica,Nacional,Desague,2001,26,8612,CRI,60.3
Costa Rica,Nacional,Electricidad,2001,26,8612,CRI,97.6
Costa Rica,Rural,Agua,2001,26,8612,CRI,95.9
Costa Rica,Rural,Desague,2001,26,8612,CRI,84.8
Costa Rica,Rural,Electricidad,2001,26,8612,CRI,94.8
Costa Rica,Urbana,Agua,2001,26,8612,CRI,99.7
Costa Rica,Urbana,Desague,2001,26,8612,CRI,44.3
Costa Rica,Urbana,Electricidad,2001,26,8612,CRI,99.3
Costa Rica,Nacional,Agua,2002,26,8612,CRI,98.2
Costa Rica,Nacional,Desague,2002,26,8612,CRI,62.5
Costa Rica,Nacional,Electricidad,2002,26,8612,CRI,98.1
Costa Rica,Rural,Agua,2002,26,8612,CRI,96
Costa Rica,Rural,Desague,2002,26,8612,CRI,87.3
Costa Rica,Rural,Electricidad,2002,26,8612,CRI,95.9
Costa Rica,Urbana,Agua,2002,26,8612,CRI,99.6
Costa Rica,Urbana,Desague,2002,26,8612,CRI,46
Costa Rica,Urbana,Electricidad,2002,26,8612,CRI,99.5
Costa Rica,Nacional,Agua,2004,26,8612,CRI,98.7
Costa Rica,Nacional,Desague,2004,26,8612,CRI,59.8
Costa Rica,Nacional,Electricidad,2004,26,8612,CRI,98.8
Costa Rica,Rural,Agua,2004,26,8612,CRI,97.2
Costa Rica,Rural,Desague,2004,26,8612,CRI,89.3
Costa Rica,Rural,Electricidad,2004,26,8612,CRI,97.2
Costa Rica,Urbana,Agua,2004,26,8612,CRI,99.7
Costa Rica,Urbana,Desague,2004,26,8612,CRI,40.6
Costa Rica,Urbana,Electricidad,2004,26,8612,CRI,99.8
Costa Rica,Nacional,Agua,2005,26,8612,CRI,98.7
Costa Rica,Nacional,Desague,2005,26,8612,CRI,63
Costa Rica,Nacional,Electricidad,2005,26,8612,CRI,98.9
Costa Rica,Rural,Agua,2005,26,8612,CRI,97
Costa Rica,Rural,Desague,2005,26,8612,CRI,90.7
Costa Rica,Rural,Electricidad,2005,26,8612,CRI,97.5
Costa Rica,Urbana,Agua,2005,26,8612,CRI,99.8
Costa Rica,Urbana,Desague,2005,26,8612,CRI,44.3
Costa Rica,Urbana,Electricidad,2005,26,8612,CRI,99.9
Costa Rica,Nacional,Agua,2006,26,8612,CRI,98.9
Costa Rica,Nacional,Desague,2006,26,8612,CRI,62.7
Costa Rica,Nacional,Electricidad,2006,26,8612,CRI,99
Costa Rica,Rural,Agua,2006,26,8612,CRI,97.5
Costa Rica,Rural,Desague,2006,26,8612,CRI,91.5
Costa Rica,Rural,Electricidad,2006,26,8612,CRI,97.6
Costa Rica,Urbana,Agua,2006,26,8612,CRI,99.9
Costa Rica,Urbana,Desague,2006,26,8612,CRI,43.7
Costa Rica,Urbana,Electricidad,2006,26,8612,CRI,99.9
Costa Rica,Nacional,Agua,2007,26,8612,CRI,99.1
Costa Rica,Nacional,Desague,2007,26,8612,CRI,60.4
Costa Rica,Nacional,Electricidad,2007,26,8612,CRI,99.1
Costa Rica,Rural,Agua,2007,26,8612,CRI,98.1
Costa Rica,Rural,Desague,2007,26,8612,CRI,92.2
Costa Rica,Rural,Electricidad,2007,26,8612,CRI,97.9
Costa Rica,Urbana,Agua,2007,26,8612,CRI,99.8
Costa Rica,Urbana,Desague,2007,26,8612,CRI,39.3
Costa Rica,Urbana,Electricidad,2007,26,8612,CRI,99.9
Costa Rica,Nacional,Agua,2008,26,8612,CRI,99.1
Costa Rica,Nacional,Desague,2008,26,8612,CRI,61.3
Costa Rica,Nacional,Electricidad,2008,26,8612,CRI,99.2
Costa Rica,Rural,Agua,2008,26,8612,CRI,97.9
Costa Rica,Rural,Desague,2008,26,8612,CRI,93
Costa Rica,Rural,Electricidad,2008,26,8612,CRI,98.1
Costa Rica,Urbana,Agua,2008,26,8612,CRI,99.9
Costa Rica,Urbana,Desague,2008,26,8612,CRI,40
Costa Rica,Urbana,Electricidad,2008,26,8612,CRI,99.9
Costa Rica,Nacional,Agua,2009,26,8612,CRI,99.3
Costa Rica,Nacional,Desague,2009,26,8612,CRI,61.8
Costa Rica,Nacional,Electricidad,2009,26,8612,CRI,99.4
Costa Rica,Rural,Agua,2009,26,8612,CRI,98.5
Costa Rica,Rural,Desague,2009,26,8612,CRI,94
Costa Rica,Rural,Electricidad,2009,26,8612,CRI,98.5
Costa Rica,Urbana,Agua,2009,26,8612,CRI,99.9
Costa Rica,Urbana,Desague,2009,26,8612,CRI,40
Costa Rica,Urbana,Electricidad,2009,26,8612,CRI,99.9
Costa Rica,Nacional,Agua,2010,26,8613,CRI,98.8
Costa Rica,Nacional,Desague,2010,26,8613,CRI,56.8
Costa Rica,Nacional,Electricidad,2010,26,8613,CRI,98.8
Costa Rica,Rural,Agua,2010,26,8613,CRI,97.4
Costa Rica,Rural,Desague,2010,26,8613,CRI,92.7
Costa Rica,Rural,Electricidad,2010,26,8613,CRI,97.2
Costa Rica,Urbana,Agua,2010,26,8613,CRI,99.6
Costa Rica,Urbana,Desague,2010,26,8613,CRI,35.6
Costa Rica,Urbana,Electricidad,2010,26,8613,CRI,99.7
Costa Rica,Nacional,Agua,2011,26,8613,CRI,99
Costa Rica,Nacional,Desague,2011,26,8613,CRI,58.3
Costa Rica,Nacional,Electricidad,2011,26,8613,CRI,99.1
Costa Rica,Rural,Agua,2011,26,8613,CRI,97.8
Costa Rica,Rural,Desague,2011,26,8613,CRI,92.8
Costa Rica,Rural,Electricidad,2011,26,8613,CRI,97.7
Costa Rica,Urbana,Agua,2011,26,8613,CRI,99.8
Costa Rica,Urbana,Desague,2011,26,8613,CRI,38
Costa Rica,Urbana,Electricidad,2011,26,8613,CRI,100
Costa Rica,Nacional,Agua,2012,26,8613,CRI,99.1
Costa Rica,Nacional,Desague,2012,26,8613,CRI,57.7
Costa Rica,Nacional,Electricidad,2012,26,8613,CRI,99.4
Costa Rica,Rural,Agua,2012,26,8613,CRI,98.1
Costa Rica,Rural,Desague,2012,26,8613,CRI,93.8
Costa Rica,Rural,Electricidad,2012,26,8613,CRI,98.4
Costa Rica,Urbana,Agua,2012,26,8613,CRI,99.7
Costa Rica,Urbana,Desague,2012,26,8613,CRI,36.3
Costa Rica,Urbana,Electricidad,2012,26,8613,CRI,100
Costa Rica,Nacional,Agua,2013,26,8613,CRI,99.2
Costa Rica,Nacional,Desague,2013,26,8613,CRI,57.5
Costa Rica,Nacional,Electricidad,2013,26,8613,CRI,99.5
Costa Rica,Rural,Agua,2013,26,8613,CRI,98.2
Costa Rica,Rural,Desague,2013,26,8613,CRI,94.6
Costa Rica,Rural,Electricidad,2013,26,8613,CRI,98.7
Costa Rica,Urbana,Agua,2013,26,8613,CRI,99.8
Costa Rica,Urbana,Desague,2013,26,8613,CRI,35.8
Costa Rica,Urbana,Electricidad,2013,26,8613,CRI,99.9
Costa Rica,Nacional,Agua,2014,26,8613,CRI,99.4
Costa Rica,Nacional,Desague,2014,26,8613,CRI,50.7
Costa Rica,Nacional,Electricidad,2014,26,8613,CRI,99.3
Costa Rica,Rural,Agua,2014,26,8613,CRI,98.5
Costa Rica,Rural,Desague,2014,26,8613,CRI,95
Costa Rica,Rural,Electricidad,2014,26,8613,CRI,98.3
Costa Rica,Urbana,Agua,2014,26,8613,CRI,99.8
Costa Rica,Urbana,Desague,2014,26,8613,CRI,34.5
Costa Rica,Urbana,Electricidad,2014,26,8613,CRI,99.7
Costa Rica,Nacional,Agua,2015,26,8613,CRI,99.3
Costa Rica,Nacional,Desague,2015,26,8613,CRI,46.3
Costa Rica,Nacional,Electricidad,2015,26,8613,CRI,99.1
Costa Rica,Rural,Agua,2015,26,8613,CRI,98.2
Costa Rica,Rural,Desague,2015,26,8613,CRI,95.2
Costa Rica,Rural,Electricidad,2015,26,8613,CRI,97.9
Costa Rica,Urbana,Agua,2015,26,8613,CRI,99.7
Costa Rica,Urbana,Desague,2015,26,8613,CRI,27.8
Costa Rica,Urbana,Electricidad,2015,26,8613,CRI,99.5
Costa Rica,Nacional,Agua,2016,26,8613,CRI,99.3
Costa Rica,Nacional,Desague,2016,26,8613,CRI,46.7
